nregistro,nombre,pactivos,labtitular,labcomercializador,cn,dosis,formaFarmaceuticaSimplificada,estado_aut,estado_rev,viasAdministracion,comerc,receta,generico,conduc,triangulo,huerfano,biosimilar,url_html_ficha_tecnica,url_foto_materiales,num_registros_atc,num_principios_activos
64064,"INALADUO 25 microgramos/50 microgramos/ INHALACIÓN, SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,906842,-,INHALACIÓN PULMONAR,994716000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/64064/FT_64064.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/64064/64064_materialas.jpg,3,2
59526,"INASPIR ACCUHALER 50 microgramos/inhalacion, POLVO PARA INHALACION",SALMETEROL XINAFOATO,Glaxosmithkline S.A.,Glaxosmithkline S.A.,937318,50 mcg salmeterol,INHALACIÓN PULMONAR,717894000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/59526/FT_59526.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/59526/59526_materialas.jpg,3,1
59527,INASPIR 25 microgramos/inhalacion SUSPENSION PARA INHALACION EN ENVASE A PRESION,SALMETEROL XINAFOATO,Glaxosmithkline S.A.,Glaxosmithkline S.A.,936989,25 mcg salmeterol/aplicación,INHALACIÓN PULMONAR,717894000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/59527/FT_59527.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/59527/59527_materialas.jpg,3,1
71864,METILPREDNISOLONA NORMON 20 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG,"METILPREDNISOLONA, HIDROGENOSUCCINATO DE",Laboratorios Normon S.A.,Laboratorios Normon S.A.,682811,20 mg,INYECTABLE,1264719600000,,VÍA INTRAMUSCULAR,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/71864/FT_71864.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/71864/71864_materialas.jpg,3,1
71866,METILPREDNISOLONA NORMON 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG,"METILPREDNISOLONA, HIDROGENOSUCCINATO DE",Laboratorios Normon S.A.,Laboratorios Normon S.A.,682812,40 mg,INYECTABLE,1264719600000,,VÍA INTRAMUSCULAR,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/71866/FT_71866.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/71866/71866_materialas.jpg,3,1
63197,MIFLONIDE BREEZHALER 200 MICROGRAMOS POLVO PARA INHALACION (CAPSULA DURA),BUDESONIDA,Novartis Farmaceutica S.A.,Novartis Farmaceutica S.A.,888255,200 microgramos,INHALACIÓN PULMONAR,962316000000,,VÍA INHALATORIA,False,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/63197/FT_63197.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/63197/63197_materialas.jpg,3,1
63198,MIFLONIDE BREEZHALER 400 MICROGRAMOS POLVO PARA INHALACION (CAPSULA DURA),BUDESONIDA,Novartis Farmaceutica S.A.,Novartis Farmaceutica S.A.,888289,400 microgramos,INHALACIÓN PULMONAR,962316000000,,VÍA INHALATORIA,False,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/63198/FT_63198.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/63198/63198_materialas.jpg,3,1
75831,MONTELUKAST CINFA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MONTELUKAST SODICO,Laboratorios Cinfa S.A.,Laboratorios Cinfa S.A.,605851,10 mg,COMPRIMIDO,1335218400000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/75831/FT_75831.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/75831/75831_materialas.jpg,3,1
74195,MONTELUKAST CINFA 4 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Laboratorios Cinfa S.A.,Laboratorios Cinfa S.A.,605465,4 mg,COMPRIMIDO MASTICABLE,1307397600000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74195/FT_74195.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74195/74195_materialas.jpg,3,1
74193,MONTELUKAST CINFA 4 mg GRANULADO EFG,MONTELUKAST SODICO,Laboratorios Cinfa S.A.,Laboratorios Cinfa S.A.,605463,4 mg,SOLUCIÓN/SUSPENSIÓN ORAL,1307397600000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74193/FT_74193.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74193/74193_materialas.jpg,3,1
